#{"t_start": 1760023516.2241907, "env_id": "None"}
r,l,t
18.238479,85,3.51835
7.880178,62,3.905493
0.176622,30,4.255037
14.00904,70,4.733104
3.244509,35,5.020829
9.654942,58,5.374677
1.429254,35,5.655359
1.460948,36,6.078008
9.025065,61,6.722258
20.718668,84,7.215718
0.901281,29,7.511223
9.216783,53,7.852556
-2.362391,20,8.090351
-0.699761,24,8.344006
-3.385267,15,8.578928
11.481207,69,9.013653
26.421543,98,9.518623
12.002618,66,9.929219
25.139926,85,10.395899
13.609953,80,10.844318
9.550445,58,11.220917
38.86738,135,11.842739
38.935755,109,12.364868
16.127308,91,12.829609
7.890115,56,13.185396
2.950538,39,13.492947
0.478902,29,13.765507
22.058531,88,14.302988
16.009482,63,14.705343
41.000528,115,15.259739
10.089058,65,15.628296
7.371766,62,15.998807
2.336555,41,16.3378
-2.880095,16,16.585538
32.446323,132,17.167384
9.009798,53,17.507054
9.944283,62,17.954872
11.16228,62,18.430883
6.739359,51,18.778078
1.059467,33,19.057663
4.833192,45,19.411627
9.877593,64,19.793753
-3.387006,15,20.011797
24.329733,90,20.278309
2.812294,36,20.593413
7.481907,52,20.921236
-1.928915,23,21.158465
5.960703,54,21.501462
17.322648,77,21.929279
-1.078837,24,22.214601
5.655756,45,22.556354
13.693772,55,22.918645
1.50661,34,23.214312
-2.487825,19,23.455731
7.070842,45,23.798246
-1.666433,23,24.089847
10.890622,72,24.513421
7.58781,60,24.893985
5.307682,37,25.601074
11.433341,70,26.061193
6.60741,61,26.528137
3.243951,36,26.862236
2.771982,45,27.208983
49.258374,145,27.875902
13.763086,71,28.283234
11.079349,58,28.664791
35.27584,118,29.216882
87.402321,208,30.568107
25.861142,107,31.115826
2.556022,41,31.420176
20.588306,88,31.889114
9.235463,57,32.256727
-0.199742,31,32.554964
-0.276457,28,32.818856
60.159431,153,33.498201
7.809592,49,33.681573
14.053465,78,34.132602
45.205673,137,34.757447
3.777673,40,35.113946
-3.484851,14,35.369116
-3.190451,17,35.641424
35.939217,110,36.218192
-3.921235,12,36.461878
18.564672,80,37.013268
-1.333044,22,37.280314
34.223398,89,37.735019
32.608521,101,38.277729
-2.64737,19,38.525779
7.376509,58,38.897734
37.676755,123,39.510199
8.801972,69,39.762859
3.832043,35,40.048685
-3.559712,15,40.281155
0.9648,37,40.598439
36.843934,122,41.445081
17.780293,67,41.964464
13.597045,79,42.533809
11.687505,60,43.054594
6.139111,48,43.282338
-4.184742,10,43.521163
5.297685,50,44.02768
27.023262,115,44.683578
-2.556327,17,44.917714
-3.826348,12,45.163456
8.848648,50,45.533827
0.782017,30,45.650639
8.175853,54,46.017382
17.893976,70,46.512931
13.908585,71,46.990681
6.690276,53,47.378528
-2.529858,22,47.629238
7.90881,50,48.40602
0.685884,29,48.713065
7.768312,52,48.920266
9.168485,55,49.251656
5.035975,45,49.585282
30.92172,107,50.152705
-1.400576,22,50.433496
-2.286345,22,50.718315
6.828857,52,51.129922
26.763078,100,51.728347
10.064236,60,52.241107
4.040089,34,52.594136
22.474298,87,53.126063
-1.46752,20,53.398297
-2.707684,17,53.65024
10.00997,51,54.099478
7.232806,47,54.568465
24.284414,85,55.086271
13.668326,66,55.523783
-3.906216,11,55.749664
14.173162,72,56.253184
0.371338,32,56.584411
50.98401,147,57.404336
10.391562,73,57.966085
24.160896,94,58.50134
17.529683,66,58.730888
9.520505,52,59.297259
-2.658113,17,59.57123
28.271306,94,60.109028
11.553147,69,60.561561
14.345636,64,60.973586
15.864,65,61.357078
24.640906,99,61.840554
5.956712,47,62.194546
27.959952,89,62.671164
27.645672,116,63.256053
29.197817,105,63.813963
3.901639,40,64.174391
-0.235731,26,64.495106
17.907159,81,64.803874
9.922774,59,65.205073
7.168831,51,65.561377
7.552185,54,65.991603
-2.460149,18,66.285592
8.784496,44,66.730998
20.594223,76,67.053095
13.033616,69,67.506256
-1.199516,23,67.757703
0.173944,26,68.033851
6.722028,53,68.370043
24.337861,87,68.665603
-0.531908,25,68.959975
6.110533,47,69.301206
15.623275,71,69.661584
-3.897154,11,69.876672
31.038551,97,70.190475
10.492113,66,70.651389
-1.256025,24,70.91273
6.218188,50,71.253655
-3.816135,12,71.458931
22.371471,80,71.847401
52.797311,139,73.025454
14.296632,70,73.411281
37.199977,107,73.747683
12.087593,53,74.121486
10.729423,59,74.507098
-4.008731,12,74.727656
7.148791,46,75.055731
-2.515999,24,75.326101
20.777278,86,75.762611
7.222173,60,76.14782
-2.384353,18,76.452581
13.09437,62,76.728648
7.791025,55,77.132929
-0.720878,24,77.381655
23.529768,74,77.8063
4.150562,43,78.223864
-2.042052,20,78.497384
1.54079,30,78.60856
18.597853,95,79.057758
8.76653,53,79.392194
-2.060864,20,79.635787
22.51581,90,80.090221
23.969561,95,80.573296
5.955042,51,80.756958
4.808392,52,81.119246
6.667355,47,81.426048
8.56716,58,81.750758
7.192862,53,81.932184
51.263954,155,82.559209
20.261995,72,82.787005
3.18065,42,83.084542
-0.974169,25,83.336406
19.947137,67,83.701568
33.526919,101,84.031571
51.968004,122,84.791509
0.059936,30,85.062799
27.584602,99,85.553869
7.152703,59,85.947097
-1.190171,24,86.211919
8.538828,55,86.536804
7.930507,54,86.933114
25.170447,93,87.598335
35.992309,91,88.515979
-2.51216,19,88.845258
21.181183,71,89.450458
-2.963748,16,89.82542
7.783967,58,90.358647
19.844228,68,90.938916
13.154328,64,91.39776
-0.580079,25,91.651851
-2.302631,22,91.754534
-0.144981,24,91.860685
20.655056,75,92.277921
24.495995,88,92.773441
14.14774,67,93.188462
0.844334,29,93.464195
3.813814,37,93.788939
11.926046,67,94.022367
6.312506,53,94.428315
2.755928,36,94.582062
2.494353,41,94.916676
19.641378,81,95.537413
12.442929,64,95.971496
36.309829,98,96.52586
10.722074,62,96.951079
53.725984,116,97.375958
31.464281,96,97.854708
-1.533333,24,98.137344
-1.300015,24,98.223473
8.536604,57,98.584829
8.802393,58,98.970411
13.833402,59,99.329494
12.953614,65,99.720706
21.982049,81,99.980565
6.836376,51,100.306641
39.885637,108,100.906684
7.011081,49,101.079144
1.883376,29,101.350237
19.687924,77,101.762434
54.019301,188,102.508154
-2.338755,19,102.759848
13.480937,69,103.327863
47.479195,124,103.940687
-3.66042,12,104.318551
3.545639,42,105.182024
0.919523,34,105.407261
9.040077,57,105.810661
-1.433106,25,106.072372
29.423677,96,106.627595
50.409363,132,107.359314
1.791367,33,107.666856
8.847434,52,108.037024
10.095406,48,108.361588
10.672597,61,108.712095
14.975351,76,109.123902
6.314457,61,109.325725
24.694773,81,109.750243
16.324602,76,110.191726
26.136657,100,110.684303
3.006249,34,110.974685
43.484606,103,111.933646
3.482926,40,112.228984
21.607945,77,112.651695
7.5157,58,112.852155
6.297615,55,113.041114
9.027886,54,113.221159
4.840729,40,113.537661
19.36219,84,114.255212
-2.289213,18,114.525371
12.030332,62,114.987787
26.944668,87,115.555959
11.471248,60,115.974441
8.480718,52,116.335818
16.450954,74,116.82364
1.612215,35,117.17486
2.650019,43,117.372445
34.990484,105,117.906564
30.117603,100,118.410596
14.400002,70,118.821991
50.620685,138,119.439467
29.202554,110,119.997998
4.443822,49,120.369879
0.081309,26,120.616742
7.502569,59,121.024983
30.077436,112,121.813107
-1.347726,21,121.930313
0.187309,33,122.277403
14.913047,63,122.764364
2.261932,37,123.151643
7.142564,53,123.561321
2.027077,30,123.705849
19.407019,76,124.22809
8.025765,44,124.488015
30.084892,101,125.187685
-3.812249,13,125.423533
2.94706,35,125.754204
5.705297,43,126.111857
9.595812,58,126.558671
20.5805,77,127.166382
57.533385,181,127.837478
3.673204,34,128.10672
10.477944,54,128.432329
5.405432,45,128.745164
23.902794,89,129.211638
-2.356245,19,129.446396
16.280845,64,129.843003
37.941312,96,130.167225
0.756416,30,130.43897
2.770037,40,130.75845
24.995692,97,131.271735
10.600295,57,131.643862
1.034847,34,131.766495
6.659078,50,131.951423
3.249827,37,132.236492
23.256651,88,132.705316
-2.818393,18,132.983752
6.902242,57,133.350262
14.965018,70,133.591817
13.633411,66,134.107288
2.213171,42,134.295559
16.401131,70,134.70308
-3.26756,16,134.770321
-2.7247,21,135.008534
