Weights & Biases run: Custom_speedwayv2
Resuming from model: results_v2/checkpoint_right_oval_1000000_steps.zip
Logging to results_v2\tensorboard\PPO_1
[34m[1mwandb[0m: [33mWARNING[0m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 125      |
|    ep_rew_mean     | 164      |
| time/              |          |
|    fps             | 747      |
|    iterations      | 1        |
|    time_elapsed    | 10       |
|    total_timesteps | 1008192  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 179         |
|    ep_rew_mean          | 274         |
| time/                   |             |
|    fps                  | 640         |
|    iterations           | 2           |
|    time_elapsed         | 25          |
|    total_timesteps      | 1016384     |
| train/                  |             |
|    approx_kl            | 0.014670072 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.35        |
|    explained_variance   | 0.205       |
|    learning_rate        | 0.0003      |
|    loss                 | 73.7        |
|    n_updates            | 1230        |
|    policy_gradient_loss | -0.000258   |
|    std                  | 0.129       |
|    value_loss           | 168         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 214         |
|    ep_rew_mean          | 346         |
| time/                   |             |
|    fps                  | 537         |
|    iterations           | 3           |
|    time_elapsed         | 45          |
|    total_timesteps      | 1024576     |
| train/                  |             |
|    approx_kl            | 0.025565479 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.36        |
|    explained_variance   | 0.683       |
|    learning_rate        | 0.0003      |
|    loss                 | 59.9        |
|    n_updates            | 1240        |
|    policy_gradient_loss | 0.00416     |
|    std                  | 0.129       |
|    value_loss           | 152         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 208        |
|    ep_rew_mean          | 334        |
| time/                   |            |
|    fps                  | 486        |
|    iterations           | 4          |
|    time_elapsed         | 67         |
|    total_timesteps      | 1032768    |
| train/                  |            |
|    approx_kl            | 0.09417135 |
|    clip_fraction        | 0.219      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.35       |
|    explained_variance   | 0.743      |
|    learning_rate        | 0.0003     |
|    loss                 | 36.1       |
|    n_updates            | 1250       |
|    policy_gradient_loss | 0.00436    |
|    std                  | 0.128      |
|    value_loss           | 132        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 206         |
|    ep_rew_mean          | 334         |
| time/                   |             |
|    fps                  | 453         |
|    iterations           | 5           |
|    time_elapsed         | 90          |
|    total_timesteps      | 1040960     |
| train/                  |             |
|    approx_kl            | 0.022588193 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.35        |
|    explained_variance   | 0.752       |
|    learning_rate        | 0.0003      |
|    loss                 | 102         |
|    n_updates            | 1260        |
|    policy_gradient_loss | 0.00404     |
|    std                  | 0.128       |
|    value_loss           | 168         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 203        |
|    ep_rew_mean          | 329        |
| time/                   |            |
|    fps                  | 435        |
|    iterations           | 6          |
|    time_elapsed         | 112        |
|    total_timesteps      | 1049152    |
| train/                  |            |
|    approx_kl            | 0.03668444 |
|    clip_fraction        | 0.237      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.36       |
|    explained_variance   | 0.783      |
|    learning_rate        | 0.0003     |
|    loss                 | 79.8       |
|    n_updates            | 1270       |
|    policy_gradient_loss | 0.00659    |
|    std                  | 0.126      |
|    value_loss           | 183        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 200        |
|    ep_rew_mean          | 324        |
| time/                   |            |
|    fps                  | 413        |
|    iterations           | 7          |
|    time_elapsed         | 138        |
|    total_timesteps      | 1057344    |
| train/                  |            |
|    approx_kl            | 0.26091933 |
|    clip_fraction        | 0.292      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.35       |
|    explained_variance   | 0.844      |
|    learning_rate        | 0.0003     |
|    loss                 | 75.3       |
|    n_updates            | 1280       |
|    policy_gradient_loss | 0.0116     |
|    std                  | 0.129      |
|    value_loss           | 137        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 202        |
|    ep_rew_mean          | 328        |
| time/                   |            |
|    fps                  | 397        |
|    iterations           | 8          |
|    time_elapsed         | 164        |
|    total_timesteps      | 1065536    |
| train/                  |            |
|    approx_kl            | 0.24147123 |
|    clip_fraction        | 0.268      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.34       |
|    explained_variance   | 0.85       |
|    learning_rate        | 0.0003     |
|    loss                 | 17.9       |
|    n_updates            | 1290       |
|    policy_gradient_loss | 0.0117     |
|    std                  | 0.128      |
|    value_loss           | 146        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 205        |
|    ep_rew_mean          | 335        |
| time/                   |            |
|    fps                  | 389        |
|    iterations           | 9          |
|    time_elapsed         | 189        |
|    total_timesteps      | 1073728    |
| train/                  |            |
|    approx_kl            | 0.16917679 |
|    clip_fraction        | 0.285      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.34       |
|    explained_variance   | 0.852      |
|    learning_rate        | 0.0003     |
|    loss                 | 80.6       |
|    n_updates            | 1300       |
|    policy_gradient_loss | 0.0134     |
|    std                  | 0.127      |
|    value_loss           | 188        |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 211       |
|    ep_rew_mean          | 333       |
| time/                   |           |
|    fps                  | 390       |
|    iterations           | 10        |
|    time_elapsed         | 210       |
|    total_timesteps      | 1081920   |
| train/                  |           |
|    approx_kl            | 0.9578042 |
|    clip_fraction        | 0.308     |
|    clip_range           | 0.2       |
|    entropy_loss         | 2.31      |
|    explained_variance   | 0.879     |
|    learning_rate        | 0.0003    |
|    loss                 | 72.5      |
|    n_updates            | 1310      |
|    policy_gradient_loss | 0.0128    |
|    std                  | 0.131     |
|    value_loss           | 144       |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 218      |
